Country,Area,Birth rate, Current account balance ,Death rate,Electricity consumption, Electricity production , Exports , GDP , GDP per capita ,GDP real growth rate, Highways , Imports ,Industrial production growth rate,Infant mortality rate,Inflation rate ,Internet users,Investment,Labor force,Life expectancy at birth,Military expenditures,Natural gas consumption,Oil consumption,Population,Public debt,Railways,Reserves of foreign exchange & gold,Total fertility rate,Unemployment rate
Serbia and Montenegro,"102,350",12.12," $(3,008,000,000.00)",10.49,"32,330,000,000"," 31,640,000,000.00 "," $3,245,000,000.00 "," $26,270,000,000.00 "," $2,400.00 ",6.5," 45,290 "," $9,538,000,000.00 ",1.70,12.89,8.80,847000.00,14.40,3200000.00,74.73,0.00,602000000.00,64000.00,10829175.00,80.00,4380.00,3550000000.00,1.67,30.00
Iraq,"437,072",32.5," $(560,000,000.00)",5.49,"33,700,000,000"," 32,600,000,000.00 "," $10,100,000,000.00 "," $89,800,000,000.00 "," $3,500.00 ",52.3," 45,550 "," $9,900,000,000.00 ",0.00,50.25,25.40,25000.00,0.00,6700000.00,68.70,0.00,2350000000.00,383000.00,26074906.00,0.00,1963.00,0.00,4.28,25.00
Russia,"17,075,200",9.8," $46,040,000,000.00 ",14.52,"894,300,000,000"," 915,000,000,000.00 "," $162,500,000,000.00 "," $1,408,000,000,000.00 "," $9,800.00 ",6.7," 537,289 "," $92,910,000,000.00 ",6.40,15.39,11.50,6000000.00,19.10,71830000.00,67.10,0.00,405800000000.00,2310000.00,143420309.00,28.20,87157.00,124500000000.00,1.27,8.30
Hong Kong,"1,092",7.23," $14,850,000,000.00 ",5.98,"38,450,000,000"," 35,510,000,000.00 "," $268,100,000,000.00 "," $234,500,000,000.00 "," $34,200.00 ",7.9," 1,831 "," $275,900,000,000.00 ",1.00,2.97,-0.30,3212800.00,22.70,3540000.00,81.39,0.00,680900000.00,257000.00,6898686.00,2.10,0.00,123600000000.00,0.91,6.70
Iceland,"103,000",13.73," $(570,000,000.00)",6.68,"7,692,000,000"," 8,271,000,000.00 "," $2,902,000,000.00 "," $9,373,000,000.00 "," $31,900.00 ",1.8," 13,004 "," $3,307,000,000.00 ",8.80,3.31,4.00,195000.00,23.80,158100.00,80.19,0.00,0.00,16300.00,296737.00,35.90,0.00,935000000.00,1.92,3.10
Jordan,"92,300",21.76," $203,200,000.00 ",2.63,"7,094,000,000"," 7,307,000,000.00 "," $3,200,000,000.00 "," $25,500,000,000.00 "," $4,500.00 ",5.1," 7,301 "," $7,600,000,000.00 ",5.00,17.35,3.20,457000.00,11.60,1410000.00,78.24,14.60,290000000.00,103000.00,5759732.00,85.80,505.00,5457000000.00,2.71,15.00
Eritrea,"121,320",38.62," $(144,900,000.00)",13.53,"229,400,000"," 246,600,000.00 "," $64,440,000.00 "," $4,154,000,000.00 ", $900.00 ,2.5," 4,010 "," $622,000,000.00 ",0.00,74.87,10.00,9500.00,26.30,0.00,52.16,13.40,0.00,6000.00,4561599.00,0.00,306.00,30870000.00,5.61,0.00
Oman,"212,460",36.73," $2,674,000,000.00 ",3.86,"9,792,000,000"," 9,896,000,000.00 "," $13,140,000,000.00 "," $38,090,000,000.00 "," $13,100.00 ",1.2," 34,965 "," $6,373,000,000.00 ",-1.20,19.51,0.20,180000.00,13.50,920000.00,73.13,11.40,6340000000.00,54000.00,3001583.00,10.30,0.00,4144000000.00,5.84,15.00
Angola,"1,246,700",44.64," $(37,880,000.00)",25.9,"1,587,000,000"," 1,707,000,000.00 "," $12,760,000,000.00 "," $23,170,000,000.00 "," $2,100.00 ",11.7," 51,429 "," $4,896,000,000.00 ",1.00,191.19,43.80,41000.00,34.50,5410000.00,36.61,10.60,530000000.00,31000.00,11190786.00,0.00,2761.00,800000000.00,6.27,0.00
Saudi Arabia,"1,960,582",29.56," $51,500,000,000.00 ",2.62,"128,500,000,000"," 138,200,000,000.00 "," $113,000,000,000.00 "," $310,200,000,000.00 "," $12,000.00 ",5," 152,044 "," $36,210,000,000.00 ",2.80,13.24,0.80,1500000.00,17.20,6620000.00,75.46,10.00,56400000000.00,1550000.00,26417599.00,75.00,1392.00,23620000000.00,4.05,25.00
Qatar,"11,437",15.54," $5,187,000,000.00 ",4.61,"9,046,000,000"," 9,727,000,000.00 "," $15,000,000,000.00 "," $19,490,000,000.00 "," $23,200.00 ",8.7," 1,230 "," $6,150,000,000.00 ",10.00,18.61,3.00,126000.00,22.90,140000.00,73.67,10.00,15860000000.00,30000.00,863051.00,0.00,0.00,3351000000.00,2.87,2.70
Israel,"20,770",18.21," $211,900,000.00 ",6.18,"38,300,000,000"," 42,670,000,000.00 "," $34,410,000,000.00 "," $129,000,000,000.00 "," $20,800.00 ",3.9," 16,903 "," $36,840,000,000.00 ",4.50,7.03,0.00,2000000.00,17.60,2680000.00,79.32,8.70,10000000.00,260000.00,6276883.00,104.50,640.00,28480000000.00,2.44,10.70
Yemen,"527,970",43.07," $369,900,000.00 ",8.53,"2,827,000,000"," 3,040,000,000.00 "," $4,468,000,000.00 "," $16,250,000,000.00 ", $800.00 ,1.9," 67,000 "," $3,734,000,000.00 ",3.00,61.50,12.20,100000.00,16.10,5980000.00,61.75,7.80,0.00,78000.00,20727063.00,46.40,0.00,5300000000.00,6.67,35.00
Armenia,"29,800",11.76," $(240,400,000.00)",8.16,"5,797,000,000"," 6,492,000,000.00 "," $850,000,000.00 "," $13,650,000,000.00 "," $4,600.00 ",9," 8,431 "," $1,300,000,000.00 ",15.00,23.28,3.50,150000.00,19.80,1400000.00,71.55,6.50,1400000000.00,5700.00,2982904.00,0.00,845.00,555000000.00,1.32,30.00
Bahrain,665,18.1," $586,100,000.00 ",4.08,"6,379,000,000"," 6,860,000,000.00 "," $8,205,000,000.00 "," $13,010,000,000.00 "," $19,200.00 ",5.6," 3,459 "," $5,870,000,000.00 ",2.00,17.27,2.10,195700.00,12.80,370000.00,74.23,6.30,32700000000.00,40000.00,688345.00,63.80,0.00,2141000000.00,2.63,15.00
Burundi,"27,830",39.66," $(59,500,000.00)",17.43,"137,800,000"," 132,000,000.00 "," $31,840,000.00 "," $4,001,000,000.00 ", $600.00 ,3," 14,480 "," $138,200,000.00 ",18.00,69.29,8.50,14000.00,10.70,2990000.00,43.50,6.00,0.00,2750.00,6370609.00,0.00,0.00,76890000.00,5.81,0.00
Macedonia,"25,333",12," $(311,000,000.00)",8.73,"7,216,000,000"," 6,273,000,000.00 "," $1,629,000,000.00 "," $14,400,000,000.00 "," $7,100.00 ",1.3," 8,684 "," $2,677,000,000.00 ",0.00,10.09,0.40,100000.00,17.50,855000.00,73.73,6.00,0.00,22000.00,2045262.00,20.00,699.00,928000000.00,1.57,37.70
Syria,"185,180",28.29," $1,100,000,000.00 ",4.88,"24,320,000,000"," 26,150,000,000.00 "," $6,086,000,000.00 "," $60,440,000,000.00 "," $3,400.00 ",2.3," 45,697 "," $5,042,000,000.00 ",7.00,29.53,2.10,220000.00,16.30,5120000.00,70.03,5.90,5840000000.00,240000.00,18448752.00,32.00,2711.00,5000000000.00,3.50,20.00
Turkey,"780,580",16.83," $(15,300,000,000.00)",5.96,"117,900,000,000"," 139,700,000,000.00 "," $69,460,000,000.00 "," $508,700,000,000.00 "," $7,400.00 ",8.2," 354,421 "," $94,500,000,000.00 ",16.50,41.04,9.30,5500000.00,17.30,25300000.00,72.36,5.30,15940000000.00,619500.00,69660559.00,74.30,8671.00,37100000000.00,1.94,9.30
Kuwait,"17,820",21.88," $12,040,000,000.00 ",2.42,"30,160,000,000"," 32,430,000,000.00 "," $27,420,000,000.00 "," $48,000,000,000.00 "," $21,300.00 ",6.8," 4,450 "," $11,120,000,000.00 ",-5.00,9.95,2.30,567000.00,8.00,1420000.00,77.03,5.30,8700000000.00,293000.00,2335648.00,29.60,0.00,7333000000.00,2.97,2.20
Morocco,"446,550",22.29," $765,400,000.00 ",5.64,"14,240,000,000"," 13,910,000,000.00 "," $9,754,000,000.00 "," $134,600,000,000.00 "," $4,200.00 ",4.4," 57,694 "," $15,630,000,000.00 ",0.00,41.62,2.10,800000.00,22.40,11020000.00,70.66,5.00,50000000.00,167000.00,32725847.00,70.20,1907.00,15140000000.00,2.73,12.10
Pakistan,"803,940",30.42," $1,400,000,000.00 ",8.45,"52,660,000,000"," 75,270,000,000.00 "," $15,070,000,000.00 "," $347,300,000,000.00 "," $2,200.00 ",6.1," 257,683 "," $14,010,000,000.00 ",13.10,72.44,4.80,1500000.00,16.40,45430000.00,63.00,4.90,23400000000.00,365000.00,162419946.00,71.40,8163.00,12580000000.00,4.14,8.30
Singapore,693,9.49," $8,800,000,000.00 ",4.16,"32,000,000,000"," 35,330,000,000.00 "," $174,000,000,000.00 "," $120,900,000,000.00 "," $27,800.00 ",8.1," 3,130 "," $155,200,000,000.00 ",11.10,2.29,1.70,2310000.00,27.40,2180000.00,81.62,4.90,2500000000.00,700000.00,4425720.00,102.50,0.00,112800000000.00,1.05,3.40
Ethiopia,"1,127,127",38.61," $(464,400,000.00)",15.06,"1,998,000,000"," 2,149,000,000.00 "," $562,800,000.00 "," $54,890,000,000.00 ", $800.00 ,11.6," 33,297 "," $2,104,000,000.00 ",6.70,95.32,2.40,75000.00,17.80,0.00,48.83,4.60,0.00,23000.00,73053286.00,0.00,681.00,923100000.00,5.33,0.00
